tvhours,age,childs,educ,female,grass,hrsrelax,black,social_connect,voted04,xmovie,zodiac,dem,rep,ind
1.0,19.0,0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,Cancer,0.0,0.0,1.0
NA,74.0,4.0,12.0,1.0,1.0,NA,1.0,NA,1.0,0.0,Capricorn,1.0,0.0,0.0
NA,32.0,1.0,12.0,0.0,NA,NA,0.0,NA,0.0,NA,Virgo,1.0,0.0,0.0
7.0,18.0,0.0,11.0,1.0,1.0,NA,1.0,2.0,NA,1.0,Pisces,0.0,1.0,0.0
NA,55.0,2.0,14.0,0.0,NA,2.0,0.0,NA,1.0,0.0,Virgo,0.0,0.0,1.0
5.0,59.0,2.0,14.0,1.0,NA,NA,0.0,0.0,0.0,NA,Leo,1.0,0.0,0.0
0.0,29.0,0.0,10.0,1.0,NA,2.0,1.0,0.0,NA,NA,Cancer,0.0,0.0,1.0
5.0,43.0,0.0,16.0,0.0,NA,8.0,NA,2.0,1.0,NA,Libra,1.0,0.0,0.0
8.0,33.0,6.0,11.0,0.0,NA,12.0,1.0,1.0,0.0,NA,Gemini,0.0,0.0,1.0
NA,24.0,3.0,12.0,1.0,NA,NA,1.0,NA,1.0,NA,Gemini,1.0,0.0,0.0
4.0,69.0,2.0,12.0,1.0,NA,NA,0.0,0.0,1.0,NA,Aries,1.0,0.0,0.0
NA,89.0,4.0,10.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Libra,0.0,1.0,0.0
4.0,33.0,0.0,17.0,1.0,1.0,1.0,NA,1.0,NA,0.0,Gemini,1.0,0.0,0.0
6.0,55.0,2.0,14.0,1.0,NA,NA,1.0,2.0,0.0,0.0,Leo,1.0,0.0,0.0
NA,60.0,0.0,14.0,1.0,0.0,NA,0.0,NA,1.0,0.0,Scorpio,1.0,0.0,0.0
14.0,38.0,0.0,16.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,Gemini,1.0,0.0,0.0
NA,39.0,1.0,17.0,0.0,NA,NA,0.0,NA,1.0,NA,Libra,0.0,1.0,0.0
2.0,25.0,0.0,9.0,0.0,1.0,NA,NA,1.0,0.0,1.0,Pisces,0.0,1.0,0.0
