guilt,dem,rep,,ind,age,educ,female,black,hispanic,income
0,0,0,0,0,70,12,1,0,0,22500
1,1,0,1,0,61,12,1,0,0,22500
NA,1,0,1,0,45,12,1,0,1,22500
1,0,0,0,0,22,12,1,0,0,22500
0,1,0,1,0,19,12,1,0,1,22500
NA,1,0,1,0,35,12,1,0,0,22500
1,1,0,1,0,38,12,1,0,1,22500
1,1,0,1,0,27,12,1,0,1,22500
1,1,0,1,0,70,12,0,0,0,22500
1,1,0,1,0,40,12,0,0,0,22500
1,1,0,1,0,44,12,1,0,0,22500
0,1,0,1,0,26,12,0,0,0,22500
NA,1,0,1,0,70,12,1,0,0,22500
0,1,0,1,0,28,12,0,1,0,22500
1,1,0,1,0,63,12,1,0,0,22500
0,1,0,1,0,21,12,0,1,0,22500
1,0,0,0,0,35,12,1,0,1,22500
1,0,0,0,0,50,12,0,0,0,22500
NA,1,0,1,0,59,12,1,0,0,22500
1,1,0,1,0,57,12,0,0,0,22500
1,1,0,1,0,60,12,1,0,0,22500
0,0,0,0,0,49,12,1,1,0,22500
1,1,0,1,0,25,12,1,1,0,22500
0,0,0,0,0,65,12,1,1,0,22500
1,1,0,1,0,48,12,1,0,0,22500
0,1,0,1,0,37,12,1,0,0,22500
0,1,0,1,0,38,12,1,1,0,22500
1,1,0,1,0,40,12,1,0,0,22500
0,1,0,1,0,47,12,1,1,0,22500
1,1,0,1,0,31,12,1,0,0,22500
0,0,0,0,0,46,12,0,0,0,22500
0,1,0,1,0,19,12,0,0,0,22500
0,1,0,1,0,31,12,1,1,0,22500
1,1,0,1,0,54,12,1,0,0,22500
1,1,0,1,0,90,12,1,0,0,22500
1,1,0,1,0,80,12,1,0,0,22500
1,0,0,0,0,62,12,1,0,0,22500
0,1,0,1,0,80,12,0,0,0,22500
1,0,0,0,0,27,12,0,0,0,22500
1,0,0,0,0,22,12,1,0,0,22500
0,1,0,1,0,41,12,1,1,0,22500
0,1,0,1,0,50,12,1,1,0,22500
1,1,0,1,0,43,12,1,0,1,22500
0,1,0,1,0,73,12,1,1,0,22500
NA,0,0,0,0,56,12,1,0,0,22500
0,0,0,0,0,21,12,1,0,0,22500
1,0,0,0,0,58,12,1,0,0,22500
1,0,0,0,0,34,12,0,0,0,22500
0,1,0,1,0,29,12,0,1,0,22500
