feminist,female,age,educ,income,dem,rep
85,1,43,16,13,1,0
70,1,61,14,14,1,0
60,0,54,17,12,0,0
50,0,56,13,12,0,0
50,1,70,12,7,1,0
50,1,70,13,7,0,1
50,1,44,16,20,0,0
70,1,52,12,16,1,0
60,1,24,16,15,0,0
85,1,58,17,18,0,0
70,1,33,13,15,1,0
100,1,46,16,1,0,0
50,1,32,14,18,1,0
60,1,63,16,3,1,0
50,0,27,12,13,1,0
85,1,62,15,25,0,1
30,0,69,17,12,0,1
85,0,73,17,16,1,0
85,1,51,14,12,1,0
15,0,62,9,2,1,0
30,1,55,12,12,1,0
50,1,56,12,1,0,0
50,0,47,12,12,1,0
50,0,42,16,18,0,0
70,1,22,14,8,1,0
100,0,55,17,4,0,0
40,0,35,13,23,0,0
70,1,51,14,14,0,0
60,0,40,17,23,1,0
70,1,80,13,9,0,0
40,0,54,13,13,0,1
60,0,63,14,12,1,0
50,0,59,12,7,1,0
50,0,50,16,5,0,1
